Ref,Val,Package,PosX,PosY,Rot,Side
"C203","C_Small","C_0201_0603Metric",92.570000,-85.585000,90.000000,bottom
"C204","C_Small","C_0201_0603Metric",105.070000,-92.235000,90.000000,bottom
"C205","C_Small","C_0201_0603Metric",106.580000,-95.970000,-90.000000,bottom
"C206","C_Small","C_0201_0603Metric",119.080000,-85.230000,90.000000,bottom
"C207","C_Small","C_0201_0603Metric",106.560000,-93.630000,-90.000000,bottom
"C208","C_Small","C_0201_0603Metric",119.070000,-87.735000,-90.000000,bottom
"C209","C_Small","C_0201_0603Metric",106.570000,-90.390000,-90.000000,bottom
"C210","C_Small","C_0201_0603Metric",119.060000,-90.320000,-90.000000,bottom
"C211","C_Small","C_0201_0603Metric",106.570000,-85.585000,90.000000,bottom
"C212","C_Small","C_0201_0603Metric",119.070000,-92.235000,90.000000,bottom
"C213","C_Small","C_0201_0603Metric",120.580000,-95.970000,-90.000000,bottom
"C214","C_Small","C_0201_0603Metric",133.080000,-85.230000,90.000000,bottom
"C215","C_Small","C_0201_0603Metric",120.560000,-93.630000,-90.000000,bottom
"C216","C_Small","C_0201_0603Metric",133.070000,-87.735000,-90.000000,bottom
"C217","C_Small","C_0201_0603Metric",120.570000,-90.390000,-90.000000,bottom
"C218","C_Small","C_0201_0603Metric",133.060000,-90.320000,-90.000000,bottom
"C219","C_Small","C_0201_0603Metric",120.570000,-85.585000,90.000000,bottom
"C220","C_Small","C_0201_0603Metric",133.070000,-92.235000,90.000000,bottom
"C221","C_Small","C_0201_0603Metric",64.580000,-111.970000,-90.000000,bottom
"C222","C_Small","C_0201_0603Metric",77.080000,-101.230000,90.000000,bottom
"C223","C_Small","C_0201_0603Metric",64.560000,-109.630000,-90.000000,bottom
"C224","C_Small","C_0201_0603Metric",77.070000,-103.735000,-90.000000,bottom
"C225","C_Small","C_0201_0603Metric",64.570000,-106.390000,-90.000000,bottom
"C226","C_Small","C_0201_0603Metric",77.060000,-106.320000,-90.000000,bottom
"C227","C_Small","C_0201_0603Metric",64.570000,-101.585000,90.000000,bottom
"C228","C_Small","C_0201_0603Metric",77.070000,-108.235000,90.000000,bottom
"C229","C_Small","C_0201_0603Metric",78.580000,-111.970000,-90.000000,bottom
"C230","C_Small","C_0201_0603Metric",91.080000,-101.230000,90.000000,bottom
"C231","C_Small","C_0201_0603Metric",78.560000,-109.630000,-90.000000,bottom
"C232","C_Small","C_0201_0603Metric",91.070000,-103.735000,-90.000000,bottom
"C233","C_Small","C_0201_0603Metric",78.570000,-106.390000,-90.000000,bottom
"C234","C_Small","C_0201_0603Metric",91.060000,-106.320000,-90.000000,bottom
"C235","C_Small","C_0201_0603Metric",78.570000,-101.585000,90.000000,bottom
"C236","C_Small","C_0201_0603Metric",91.070000,-108.235000,90.000000,bottom
"C237","C_Small","C_0201_0603Metric",92.580000,-111.970000,-90.000000,bottom
"C238","C_Small","C_0201_0603Metric",105.080000,-101.230000,90.000000,bottom
"C239","C_Small","C_0201_0603Metric",92.560000,-109.630000,-90.000000,bottom
"C240","C_Small","C_0201_0603Metric",105.070000,-103.735000,-90.000000,bottom
"C241","C_Small","C_0201_0603Metric",92.570000,-106.390000,-90.000000,bottom
"C242","C_Small","C_0201_0603Metric",105.060000,-106.320000,-90.000000,bottom
"C243","C_Small","C_0201_0603Metric",92.570000,-101.585000,90.000000,bottom
"C244","C_Small","C_0201_0603Metric",105.070000,-108.235000,90.000000,bottom
"C245","C_Small","C_0201_0603Metric",106.580000,-111.970000,-90.000000,bottom
"C246","C_Small","C_0201_0603Metric",119.080000,-101.230000,90.000000,bottom
"C247","C_Small","C_0201_0603Metric",106.560000,-109.630000,-90.000000,bottom
"C248","C_Small","C_0201_0603Metric",119.070000,-103.735000,-90.000000,bottom
"C249","C_Small","C_0201_0603Metric",106.570000,-106.390000,-90.000000,bottom
"C250","C_Small","C_0201_0603Metric",119.060000,-106.320000,-90.000000,bottom
"C251","C_Small","C_0201_0603Metric",106.570000,-101.585000,90.000000,bottom
"C252","C_Small","C_0201_0603Metric",119.070000,-108.235000,90.000000,bottom
"C253","C_Small","C_0201_0603Metric",120.580000,-111.970000,-90.000000,bottom
"C254","C_Small","C_0201_0603Metric",133.080000,-101.230000,90.000000,bottom
"C255","C_Small","C_0201_0603Metric",120.560000,-109.630000,-90.000000,bottom
"C256","C_Small","C_0201_0603Metric",133.070000,-103.735000,-90.000000,bottom
"C257","C_Small","C_0201_0603Metric",120.570000,-106.390000,-90.000000,bottom
"C258","C_Small","C_0201_0603Metric",133.060000,-106.320000,-90.000000,bottom
"C259","C_Small","C_0201_0603Metric",120.570000,-101.585000,90.000000,bottom
"C260","C_Small","C_0201_0603Metric",133.070000,-108.235000,90.000000,bottom
"U101","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-58.395000,-90.000000,bottom
"U103","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-58.395000,-90.000000,bottom
"U105","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-58.395000,-90.000000,bottom
"U107","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-58.395000,-90.000000,bottom
"U109","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-58.395000,-90.000000,bottom
"U111","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-74.395000,-90.000000,bottom
"U113","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-74.395000,-90.000000,bottom
"U115","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-74.395000,-90.000000,bottom
"U117","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-74.395000,-90.000000,bottom
"U119","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-74.395000,-90.000000,bottom
"U121","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-90.395000,-90.000000,bottom
"U123","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-90.395000,-90.000000,bottom
"U125","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-90.395000,-90.000000,bottom
"U127","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-90.395000,-90.000000,bottom
"U129","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-90.395000,-90.000000,bottom
"U131","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-106.395000,-90.000000,bottom
"U133","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-106.395000,-90.000000,bottom
"U135","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-106.395000,-90.000000,bottom
"U137","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-106.395000,-90.000000,bottom
"U139","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-106.395000,-90.000000,bottom
